,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.88,0.07,0.7202404167469956,0.7863636363636363,0.7432113511851539
baseline_neg,0.91,0.09,0.7167283572625307,0.7972727272727274,0.7452035415701219
double_baseline_negation,0.92,0.09,0.7213555601605138,0.8036363636363636,0.7513170381905091
forward_ltsbs,0.85,0.11,0.7324214941405345,0.8163636363636364,0.764178329594103
forward_neg_ltsbs,0.92,0.11,0.7345555892765645,0.8181818181818182,0.7642843735493191
double_forward_negation,0.93,0.13,0.7413504374882085,0.8254545454545454,0.7730325616159834
backward_ltsbs,0.68,0.0,0.5578108850214114,0.6,0.5661197585517453
backward_neg_ltsbs,0.71,0.02,0.5818427290803452,0.6245454545454545,0.5925861316857071
double_backward_negation,0.75,0.01,0.5926297729188597,0.6127272727272728,0.5913691905685188
