,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
double_backward_negation,0.77,0.0,0.6453330999066292,0.5128571428571429,0.5576135324238471
single_backward_neg,0.65,0.01,0.676137085137085,0.5357142857142857,0.5847096548040291
single_backward,0.75,0.01,0.6689362745098039,0.4942857142857142,0.5520850400598417
double_forward_negation,0.97,0.27,0.7943613886113887,0.787142857142857,0.7863644553352616
single_forward_neg,0.92,0.24,0.7876645021645022,0.7800000000000001,0.7771731109821901
single_forward,0.96,0.28,0.7945485347985349,0.7771428571428574,0.7802357509008643
double_baseline_negation,0.93,0.21,0.7781875053051525,0.7614285714285713,0.7643961460254584
single_baseline_neg,0.88,0.19,0.7735429555824294,0.76,0.7605575043243563
single_baseline,0.96,0.28,0.8079551820728291,0.7957142857142858,0.7974933031035478
